74	114
1929	2307
287	292
3453	3709
2842	3031
2108	2261
74	215
3709	3798
2386	2573
1253	1326
1493	1533
2112	2201
3013	3058
3012	3063
2108	2115
866	870
2074	2253
1648	1880
2104	2324
2140	2348
873	887
2354	2433
2139	2573
2482	2485
2933	3155
1971	2122
3451	3974
135	139
2374	2408
2122	2324
2556	2564
3451	3453
1984	2600
1966	1979
2352	2492
3701	3708
2257	2550
725	789
2551	2624
1943	2539
2326	2469
1206	1581
2139	2404
2307	2359
2261	2354
2275	2446
2033	2122
3723	3925
2433	2526
1997	2395
2020	2430
108	135
2073	2115
2154	2433
393	476
918	1145
114	292
2074	2550
2308	2619
15	74
12	43
486	518
3481	3523
911	918
2030	2045
2354	2559
2074	2561
1793	1849
1601	1747
2040	2356
3871	3892
2112	2363
1962	1997
74	287
2030	2307
2261	2363
2257	2460
2184	2404
1986	2500
2404	2559
2074	2549
2207	2401
2253	2323
624	668
1993	2083
74	335
2307	2354
4010	4015
2200	2586
2140	2521
1096	1145
2386	2564
2253	2600
2005	2553
2077	2363
1997	2520
3451	3820
2495	2578
2307	2323
3453	3570
18	287
2220	2257
2046	2550
608	674
2271	2521
3798	3856
1206	1466
2495	2560
97	253
15	37
15	335
2083	2140
749	775
1454	1848
2467	2500
3083	3336
1929	2546
1382	1848
2601	2623
613	624
2460	2539
2404	2464
1998	2024
2037	2150
2356	2600
1983	2115
1145	1386
2077	2615
2201	2654
1353	1394
2348	2526
108	309
1992	2076
2005	2140
2348	2408
668	674
43	335
2115	2356
2381	2601
2404	2619
2121	2200
2356	2485
2093	2469
2020	2086
2095	2550
11	335
585	668
2271	2484
2115	2121
918	1096
891	892
1929	2261
1232	1493
2040	2492
505	518
2108	2446
2043	2308
3820	3856
2190	2602
1533	1648
2386	2446
2575	2638
1082	1636
215	292
3594	3639
2354	2467
2069	2363
2069	2095
3650	3820
209	287
1363	1568
2165	2374
2401	2490
114	335
2261	2275
2237	2275
3581	3919
2495	2549
2290	2551
2538	2583
1979	2354
2307	2654
2339	2495
1314	1568
1434	1905
883	891
2326	2550
3729	3820
2165	2433
2046	2433
2005	2542
3570	3820
1918	2363
1984	2370
2253	2611
1260	1310
2079	2596
2276	2521
883	892
2184	2423
3798	3935
2216	2430
2045	2257
2257	2433
18	215
2064	2539
2122	2630
2469	2625
3935	3974
2546	2593
2348	2485
2276	2520
2212	2257
2040	2624
2404	2551
3498	3590
2109	2615
2122	2559
2261	2460
1984	2495
2842	3183
2253	2271
2093	2551
2022	2645
2108	2257
2077	2433
1966	2460
2112	2469
3729	3748
2323	2578
2308	2359
443	468
2095	2408
2356	2484
2190	2307
12	292
2123	2619
1993	2504
2095	2229
1096	1560
1984	2485
11	37
1979	2108
2121	2386
2124	2495
2093	2140
911	1096
2200	2482
1071	1326
1918	2037
1985	2593
2408	2460
2140	2469
1985	2607
4008	4022
2077	2188
2083	2625
1997	2069
918	1834
2770	2970
3570	3798
602	638
1948	2180
2079	2470
2376	2615
665	681
2460	2469
3729	3798
2244	2261
1793	1902
2100	2548
2253	2276
3467	3795
1925	2433
1943	2299
11	18
3453	3729
1918	2229
2093	2212
15	18
2103	2485
635	665
877	887
2521	2559
2083	2578
2054	2471
2095	2278
2352	2559
35	321
958	1378
1946	2553
2033	2339
1929	2348
2104	2404
1371	1493
3008	3311
2323	2526
447	550
2109	2218
2229	2600
2020	2619
2521	2573
2269	2596
4008	4024
1108	1245
576	665
2086	2108
2470	2569
2118	2485
3748	3856
2329	2356
3729	3974
619	680
4006	4032
2257	2348
2083	2339
2083	2154
911	1145
2040	2339
1096	1119
585	638
2190	2414
193	201
1431	1707
1925	2020
43	215
2059	2376
2020	2095
3650	3935
1929	2526
2169	2241
602	674
2112	2654
1984	2359
3650	3798
2799	3141
2140	2504
577	665
2348	2370
2370	2433
1983	2500
608	613
3541	3739
245	264
2520	2593
2430	2539
43	210
2043	2200
11	292
2083	2309
3598	3840
3984	4022
2154	2561
2063	2395
2376	2386
4024	4035
2356	2404
3030	3317
2469	2573
1971	2069
608	638
2261	2559
3581	3639
1997	2446
2284	2640
2112	2253
2278	2386
2121	2404
2020	2655
576	582
1145	1206
2559	2573
2124	2430
4008	4015
2299	2561
1962	2575
2188	2561
2736	3424
2520	2521
2184	2467
3553	3850
2212	2276
3709	3856
2086	2586
2414	2619
2369	2551
2095	2374
2331	2551
2408	2433
12	74
1466	1560
1918	2131
469	509
2233	2414
2180	2196
2485	2559
70	71
2352	2551
3541	3567
4018	4019
903	938
1495	1742
2154	2348
2408	2520
2278	2549
210	335
2005	2257
2526	2559
3729	3853
1917	2233
1066	1751
2278	2381
2561	2600
2261	2278
585	624
2007	2336
2040	2655
2140	2386
2115	2374
2308	2376
3567	3892
4008	4010
2084	2630
3453	3748
2103	2299
2539	2601
203	252
791	802
2348	2363
15	209
2640	2647
2033	2308
1386	1560
18	74
918	1206
1918	2307
1096	1206
2172	2638
2046	2201
2078	2112
2553	2654
2200	2539
2068	2292
2190	2561
1918	2408
2370	2469
2115	2381
2324	2504
1466	1834
602	668
2216	2376
3650	3709
3856	3935
2069	2112
358	550
3657	3912
1917	2348
1662	1793
1966	2430
24	330
2005	2561
2112	2331
607	613
2077	2326
2409	2619
1918	2103
2095	2482
1966	2200
2386	2433
2500	2551
1455	1762
2546	2655
3453	3650
2386	2619
2086	2549
2460	2549
2063	2374
1979	2307
600	647
2020	2074
2124	2551
2020	2033
2423	2546
2573	2654
2276	2308
2722	3006
2154	2560
2266	2495
1929	2069
2167	2245
18	43
2271	2428
2083	2326
2308	2521
4010	4024
2045	2495
2020	2063
3570	3856
2006	2633
2500	2619
3639	3919
1946	2495
595	665
2083	2376
2154	2520
2115	2184
911	1119
2074	2559
2307	2611
2131	2212
266	299
1929	2600
3766	3783
1918	2359
2271	2506
2093	2573
2122	2655
918	1581
3729	3935
2074	2615
607	624
1966	2188
3798	3820
2433	2482
2077	2271
18	114
1137	1787
576	599
2095	2124
2079	2195
1984	2625
2521	2630
602	624
2154	2550
2469	2578
2292	2336
1938	2423
114	215
70	253
2307	2550
1078	1610
1386	1581
2308	2504
2172	2423
1216	1648
2064	2278
95	219
689	725
2370	2619
1169	1756
1953	2359
2005	2573
1119	1834
2699	2889
2095	2108
3598	3644
497	553
2742	3434
2124	2386
2556	2590
2220	2467
2112	2299
2504	2654
2093	2109
4009	4018
1119	1581
2190	2212
2200	2561
1096	1581
2275	2278
2108	2485
1979	2033
2063	2121
2033	2216
52	205
2299	2446
2433	2654
1918	1966
2212	2553
2408	2573
2150	2485
1971	2495
2539	2559
1298	1576
1119	1145
114	287
110	201
1333	1363
2121	2539
1108	1732
3541	3917
11	15
2363	2607
2363	2526
2093	2124
2381	2404
2352	2446
2037	2253
1119	1386
2212	2602
215	287
2276	2326
2423	2430
2104	2276
582	647
2086	2624
2095	2123
3709	3853
1944	2637
2423	2521
3748	3820
2005	2607
3498	3608
12	287
2404	2578
210	287
2212	2504
2430	2590
2104	2575
931	1478
2033	2542
2386	2578
476	564
2253	2590
2121	2485
2561	2578
2216	2326
2069	2408
3594	3919
2539	2578
2704	2740
2457	2569
2115	2578
958	963
2043	2551
4008	4035
2546	2549
861	886
3709	3974
635	647
2278	2299
2083	2423
2006	2640
2241	2461
2115	2118
1997	2578
2212	2638
1997	2469
2348	2404
3709	3935
2043	2045
2482	2546
2037	2376
1979	2103
2195	2457
3482	3840
3012	3368
124	155
2063	2369
12	114
12	335
1096	1834
2200	2564
1945	2279
2513	2515
4015	4022
699	743
2069	2386
3819	3871
3570	3935
2257	2521
2276	2428
1986	2428
638	668
1096	1466
2195	2269
37	43
2039	2042
2354	2495
2020	2404
2118	2556
2261	2374
3513	3716
2077	2655
2184	2495
1372	1443
3451	3729
2240	2575
1986	2005
2108	2408
2299	2550
43	209
2216	2433
2261	2395
1917	2276
985	1759
1986	2290
1917	2109
2699	3314
585	602
